80 169
1.466386554621848e+00 2.716499308584193e-01 0.000000000000000e+00
1.474789915966386e+00 2.738735240931815e-01 0.000000000000000e+00
1.483193277310924e+00 2.760971173279438e-01 0.000000000000000e+00
1.491596638655462e+00 2.783207105627061e-01 0.000000000000000e+00
1.500000000000000e+00 2.805443037974683e-01 0.000000000000000e+00
0.000000000000000e+00 3.187341772151899e-02 0.000000000000000e+00
1.020408163265306e-02 3.187341772151899e-02 0.000000000000000e+00
2.040816326530611e-02 3.187341772151899e-02 0.000000000000000e+00
3.061224489795918e-02 3.187341772151899e-02 0.000000000000000e+00
4.081632653061223e-02 3.187341772151898e-02 0.000000000000000e+00
5.102040816326530e-02 3.187341772151898e-02 0.000000000000000e+00
6.122448979591835e-02 3.187341772151898e-02 0.000000000000000e+00
7.142857142857145e-02 3.187341772151899e-02 0.000000000000000e+00
8.163265306122446e-02 3.187341772151899e-02 0.000000000000000e+00
9.183673469387754e-02 3.187341772151899e-02 0.000000000000000e+00
1.020408163265306e-01 3.187341772151899e-02 0.000000000000000e+00
1.122448979591837e-01 3.187341772151899e-02 0.000000000000000e+00
1.224489795918367e-01 3.187341772151898e-02 0.000000000000000e+00
1.326530612244898e-01 3.187341772151899e-02 0.000000000000000e+00
1.428571428571429e-01 3.187341772151899e-02 0.000000000000000e+00
1.530612244897958e-01 3.187341772151901e-02 0.000000000000000e+00
1.632653061224489e-01 3.187341772151901e-02 0.000000000000000e+00
1.734693877551020e-01 3.187341772151901e-02 0.000000000000000e+00
1.836734693877551e-01 3.187341772151901e-02 0.000000000000000e+00
1.938775510204082e-01 3.187341772151901e-02 0.000000000000000e+00
2.040816326530612e-01 3.187341772151899e-02 0.000000000000000e+00
2.142857142857143e-01 3.187341772151900e-02 0.000000000000000e+00
2.244897959183673e-01 3.187341772151900e-02 0.000000000000000e+00
2.346938775510204e-01 3.187341772151900e-02 0.000000000000000e+00
2.448979591836734e-01 3.187341772151900e-02 0.000000000000000e+00
2.551020408163265e-01 3.187341772151900e-02 0.000000000000000e+00
2.653061224489797e-01 3.187341772151900e-02 0.000000000000000e+00
2.755102040816327e-01 3.187341772151900e-02 0.000000000000000e+00
2.857142857142858e-01 3.187341772151900e-02 0.000000000000000e+00
2.959183673469388e-01 3.187341772151900e-02 0.000000000000000e+00
3.061224489795917e-01 3.187341772151900e-02 0.000000000000000e+00
3.163265306122448e-01 3.187341772151900e-02 0.000000000000000e+00
3.265306122448978e-01 3.187341772151900e-02 0.000000000000000e+00
3.367346938775509e-01 3.187341772151900e-02 0.000000000000000e+00
3.469387755102040e-01 3.187341772151900e-02 0.000000000000000e+00
3.571428571428571e-01 3.187341772151900e-02 0.000000000000000e+00
3.673469387755102e-01 3.187341772151900e-02 0.000000000000000e+00
3.775510204081632e-01 3.187341772151901e-02 0.000000000000000e+00
3.877551020408163e-01 3.187341772151901e-02 0.000000000000000e+00
3.979591836734693e-01 3.187341772151901e-02 0.000000000000000e+00
4.081632653061224e-01 3.187341772151901e-02 0.000000000000000e+00
4.183673469387755e-01 3.187341772151902e-02 0.000000000000000e+00
4.285714285714286e-01 3.187341772151901e-02 0.000000000000000e+00
4.387755102040816e-01 3.187341772151902e-02 0.000000000000000e+00
4.489795918367346e-01 3.187341772151902e-02 0.000000000000000e+00
4.591836734693877e-01 3.187341772151901e-02 0.000000000000000e+00
4.693877551020408e-01 3.187341772151901e-02 0.000000000000000e+00
4.795918367346939e-01 3.187341772151901e-02 0.000000000000000e+00
4.897959183673469e-01 3.187341772151901e-02 0.000000000000000e+00
5.000000000000000e-01 3.187341772151901e-02 0.000000000000000e+00
